#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
6750	199.96470834044	+32.88637544208	1469679057835111680	                                	          	14.28	      	      	      	 1.711	 4.81	               	 0.684	5p	 49	9	 0.031	 1.104	 0.074	 0.129	 0.078	 0.072	 3.90e-03	   2.9	13.3	 1.85	  8.90	                 	0	0
6751	193.64630398799	+58.24285167248	1577304375562419712	                                	          	14.28	      	      	      	 2.092	 8.11	               	 0.550	5p	 39	9	 0.123	 1.312	 0.073	 0.130	 0.078	 0.127	 0.00e+00	   6.6	12.0	 1.72	 13.95	                 	0	0
6752	 83.63056045945	+50.75050536521	 215338291445783680	                                	          	14.28	      	      	      	 2.398	 8.46	               	 0.566	5p	 39	9	 0.088	 1.163	 0.074	 0.130	 0.074	 0.082	 1.30e-03	   3.2	 7.7	 1.74	 14.69	                 	0	0
6753	227.48150552718	-29.34507918917	6212231595902188032	                                	          	14.28	      	      	      	 2.313	 8.64	               	 0.551	5p	 23	8	 0.100	 1.191	 0.074	 0.130	 0.072	 0.090	 4.40e-03	   2.9	 8.0	 1.72	 14.88	                 	0	0
6754	206.09739746199	+80.79813464895	1718846465911719040	                                	          	14.28	      	      	      	 2.281	 8.40	               	 0.551	5p	 39	9	 0.040	 1.120	 0.074	 0.130	 0.079	 0.076	 4.70e-03	   2.8	 7.0	 1.72	 14.46	                 	0	0
6755	240.11477185008	-57.61360815858	5835753145301009920	                                	          	14.28	      	      	      	 1.941	 6.75	               	 0.599	5p	 47	9	 0.007	 1.099	 0.073	 0.130	 0.086	 0.079	 9.60e-04	   3.3	 9.5	 1.77	 11.94	                 	0	0
6756	 79.46753626697	-44.80079876905	4800136612009060352	                                	          	14.28	      	      	      	 1.810	 5.60	               	 0.641	5p	 46	8	 0.035	 1.114	 0.074	 0.130	 0.078	 0.074	 4.50e-03	   2.8	11.3	 1.81	 10.13	                 	0	0
6757	 39.25935356875	 -7.91970733006	5177342114778469248	                                	          	14.28	      	      	      	 2.117	 8.39	               	 0.532	5p	 22	8	 0.070	 1.224	 0.073	 0.131	 0.076	 0.104	 3.90e-04	   3.5	 9.4	 1.70	 14.28	                 	0	0
6758	234.06700169490	-22.24040397775	6241175483589859840	                                	          	14.28	      	      	      	 2.168	 8.46	               	 0.547	5p	 23	8	 0.115	 1.293	 0.073	 0.130	 0.071	 0.115	 2.00e-05	   4.3	10.5	 1.72	 14.54	                 	0	0
6759	282.28673249465	-37.75188374233	6729464852280018176	                                	          	14.28	      	      	      	 2.044	 7.69	               	 0.566	5p	 23	9	 0.084	 1.197	 0.073	 0.130	 0.077	 0.098	 5.60e-04	   3.5	10.1	 1.74	 13.35	                 	0	0
6760	137.71440928326	-31.13572842768	5634443664345544192	                                	          	14.28	      	      	      	 1.993	 7.50	               	 0.550	5p	 83	9	 0.086	 1.227	 0.073	 0.130	 0.072	 0.098	 0.00e+00	   6.3	10.1	 1.72	 12.91	                 	0	0
6761	206.90437307918	+61.84953247127	1664301377683310080	                                	          	14.28	      	      	      	 2.058	 6.69	               	 0.640	5p	 41	9	 0.084	 1.215	 0.073	 0.130	 0.078	 0.102	 0.00e+00	   4.8	13.1	 1.81	 12.10	                 	0	0
6762	142.36399436667	-26.62207089762	5637295763147889664	                                	          	14.28	      	      	      	 2.275	 8.61	               	 0.557	5p	 75	9	 0.040	 1.115	 0.074	 0.130	 0.073	 0.064	 4.70e-03	   2.8	 5.8	 1.73	 14.88	                 	0	0
6763	343.55965353444	 -5.32363328998	2611997559497446144	UCAC4 424-133071                	          	14.28	      	 10.43	      	 2.807	 9.55	               	 0.566	5p	 24	9	 0.091	 1.255	 0.083	 0.128	 0.076	 0.108	 1.90e-04	   3.7	 8.9	 1.74	 16.59	                 	0	0
6764	223.96344054148	+12.95016868035	1181936899205068288	                                	          	14.28	      	      	      	 2.346	 9.63	               	 0.531	5p	 24	9	 0.075	 1.169	 0.074	 0.130	 0.073	 0.085	 5.80e-03	   2.8	 6.6	 1.70	 16.38	                 	0	0
6765	199.59350537100	+82.50618317287	1719243355249623680	                                	          	14.28	      	      	      	 2.188	 7.96	               	 0.569	5p	 42	9	 0.059	 1.165	 0.073	 0.130	 0.078	 0.089	 1.40e-04	   3.8	 8.8	 1.74	 13.84	                 	0	0
6766	 13.54303349034	-54.67407246579	4920910886213030784	                                	          	14.28	      	      	      	 2.167	 8.14	               	 0.559	5p	 53	9	 0.062	 1.125	 0.073	 0.130	 0.078	 0.075	 1.30e-03	   3.2	 7.2	 1.73	 14.08	                 	0	0
6767	347.68861422660	+43.35635667129	1931679550177586176	                                	          	14.28	      	      	      	 2.240	 8.96	               	 0.537	5p	 55	9	 0.038	 1.133	 0.074	 0.130	 0.073	 0.071	 2.80e-03	   3.0	 6.1	 1.71	 15.30	                 	0	0
6768	143.29058834062	-25.10347707754	5661558480076954368	                                	          	14.28	      	      	      	 1.764	 4.58	               	 0.674	5p	 61	9	 0.059	 1.120	 0.074	 0.130	 0.073	 0.070	 2.40e-03	   3.0	13.5	 1.84	  8.44	                 	0	0
6769	158.95928594817	+50.65772189297	 835385982478982016	                                	          	14.28	      	      	      	 2.060	 6.05	               	 0.626	5p	 84	9	 0.000	 1.087	 0.073	 0.130	 0.079	 0.065	 2.00e-03	   3.1	 9.0	 1.80	 10.86	                 	0	0
6770	178.96317304925	-18.60793519208	3543135267996657152	                                	          	14.28	      	      	      	 2.095	 8.12	               	 0.550	5p	 42	9	 0.029	 1.139	 0.073	 0.130	 0.078	 0.081	 1.10e-03	   3.3	 7.7	 1.72	 13.97	                 	0	0
6771	204.06723929118	+47.02678749407	1551752000211619968	                                	          	14.28	      	      	      	 1.877	 5.44	               	 0.646	5p	 65	9	 0.000	 1.111	 0.073	 0.130	 0.079	 0.073	 7.80e-04	   3.4	11.6	 1.82	  9.87	                 	0	0
6772	296.65062010140	-19.76245372720	6868679517025865088	                                	          	14.28	      	      	      	 2.271	 6.38	               	 0.636	5p	 23	8	 0.090	 1.221	 0.074	 0.130	 0.075	 0.101	 6.20e-04	   3.4	13.4	 1.81	 11.53	                 	0	0
6773	228.68112519542	-42.16375372056	6004158469279097984	                                	          	14.28	      	      	      	 1.852	 5.51	               	 0.650	5p	 31	9	 0.057	 1.146	 0.073	 0.130	 0.074	 0.081	 4.20e-03	   2.9	12.6	 1.82	 10.02	                 	0	0
6774	299.15933107083	-19.36535527973	6867208507907367168	                                	          	14.28	      	      	      	 2.191	 7.32	               	 0.596	5p	 41	9	 0.076	 1.162	 0.073	 0.131	 0.075	 0.084	 5.30e-04	   3.5	 9.4	 1.77	 12.93	                 	0	0
6775	128.80905335602	-17.43060075115	5709582124322577664	                                	          	14.28	      	      	      	 2.304	 8.60	               	 0.549	5p	 75	9	 0.095	 1.241	 0.074	 0.130	 0.075	 0.104	 0.00e+00	   6.5	 9.3	 1.72	 14.79	                 	0	0
6776	105.68772188644	+11.64098708700	3160516044850929280	                                	          	14.28	      	      	      	 1.904	 6.09	               	 0.617	5p	 25	9	 0.088	 1.174	 0.073	 0.130	 0.074	 0.089	 2.40e-03	   3.0	12.1	 1.79	 10.89	                 	0	0
6777	 33.42115960834	-56.45078550923	4742357653925780608	                                	          	14.28	      	      	      	 2.241	 7.23	               	 0.588	5p	 46	9	 0.064	 1.143	 0.074	 0.130	 0.079	 0.083	 4.40e-04	   3.5	 9.2	 1.76	 12.71	                 	0	0
6778	280.65863836070	 -3.82874822966	4258450010903541888	                                	          	14.28	      	      	      	 2.236	 9.08	               	 0.541	5p	 25	9	 0.025	 1.147	 0.074	 0.130	 0.077	 0.083	 6.70e-03	   2.7	 7.0	 1.71	 15.54	                 	0	0
6779	316.88973634141	-31.41604940528	6787290230362020096	                                	          	14.28	      	      	      	 2.516	 8.10	               	 0.583	5p	 73	9	 0.030	 1.123	 0.076	 0.130	 0.077	 0.071	 1.20e-03	   3.2	 7.0	 1.75	 14.20	                 	0	0
6780	  7.37470685496	-22.12077819756	2360667343329891584	                                	          	14.28	      	      	      	 1.776	 5.39	               	 0.626	5p	 29	9	 0.047	 1.145	 0.074	 0.130	 0.076	 0.083	 3.40e-03	   2.9	13.0	 1.80	  9.67	                 	0	0
6781	144.51378690935	-78.23014503252	5202981076673760128	                                	          	14.28	      	      	      	 2.348	 9.07	               	 0.540	5p	 39	9	 0.043	 1.121	 0.074	 0.130	 0.078	 0.074	 6.70e-03	   2.7	 6.2	 1.71	 15.51	                 	0	0
6782	 52.72888128043	-24.19454717067	5085964280377742720	                                	          	14.28	      	      	      	 2.129	 9.21	               	 0.520	5p	101	9	 0.037	 1.091	 0.073	 0.131	 0.076	 0.061	 2.90e-03	   3.0	 4.9	 1.69	 15.55	                 	0	0
6783	348.58364565782	+41.39126960440	1918517949316428544	                                	          	14.28	      	      	      	 1.790	 5.13	               	 0.680	5p	 64	9	 0.021	 1.108	 0.074	 0.130	 0.074	 0.067	 4.10e-03	   2.9	11.6	 1.85	  9.48	                 	0	0
6784	115.01454656343	+27.63712064142	 878225468054535424	                                	          	14.28	      	      	      	 2.340	 8.30	               	 0.567	5p	 24	9	 0.121	 1.280	 0.074	 0.130	 0.074	 0.115	 1.00e-05	   4.5	10.9	 1.74	 14.43	                 	0	0
6785	150.97167773558	+30.40037814415	 743927750582326016	                                	          	14.28	      	      	      	 2.146	 7.24	               	 0.590	5p	 56	9	 0.047	 1.121	 0.073	 0.131	 0.080	 0.077	 6.60e-04	   3.4	 8.6	 1.76	 12.75	                 	0	0
6786	153.60215152150	+23.35152035069	 725458115604065408	                                	          	14.28	      	      	      	 2.361	 9.36	               	 0.541	5p	 25	8	 0.110	 1.279	 0.074	 0.130	 0.079	 0.119	 0.00e+00	   4.7	 9.7	 1.71	 16.02	                 	0	0
6787	 70.34140705974	-33.20211367273	4868364435248007040	                                	          	14.29	      	      	      	 2.340	 8.69	               	 0.546	5p	 54	9	 0.057	 1.131	 0.074	 0.130	 0.076	 0.074	 1.60e-03	   3.1	 6.6	 1.72	 14.91	                 	0	0
6788	214.58200803869	-34.62686086081	6122798179091062784	                                	          	14.29	      	      	      	 1.872	 6.06	               	 0.635	5p	 21	9	 0.056	 1.203	 0.073	 0.130	 0.071	 0.094	 1.90e-03	   3.1	13.2	 1.80	 10.94	                 	0	0
6789	 21.60642225911	-70.45982972871	4691078527550399488	                                	          	14.29	      	      	      	 2.171	 7.31	               	 0.600	5p	 41	9	 0.056	 1.183	 0.073	 0.131	 0.078	 0.094	 3.00e-05	   4.2	10.5	 1.77	 12.96	                 	0	0
6790	100.31590091440	-17.28244629430	2946643406703153792	                                	          	14.29	      	      	      	 2.151	 8.87	               	 0.533	5p	 53	9	 0.076	 1.152	 0.073	 0.131	 0.072	 0.077	 8.30e-04	   3.3	 6.6	 1.70	 15.11	                 	0	0
6791	150.10787091357	+61.59965601710	1051189882738251520	                                	          	14.29	      	      	      	 2.105	 9.11	               	 0.509	5p	 82	9	 0.054	 1.151	 0.073	 0.131	 0.074	 0.079	 2.00e-05	   4.2	 6.3	 1.68	 15.27	                 	0	0
6792	218.97599606808	 +5.75916348278	1171254078589426560	                                	          	14.29	      	      	      	 2.223	 9.45	               	 0.521	5p	 23	9	 0.061	 1.237	 0.074	 0.131	 0.074	 0.105	 1.50e-04	   3.8	 8.2	 1.69	 15.96	                 	0	0
6793	 55.01944655368	 -1.71076054584	3250956270711847552	                                	          	14.29	      	      	      	 2.191	 8.92	               	 0.528	5p	 39	9	 0.088	 1.238	 0.073	 0.131	 0.072	 0.102	 0.00e+00	   4.6	 8.6	 1.70	 15.13	                 	0	0
6794	144.15410775972	+31.35407749729	 697670609209416192	                                	          	14.29	      	      	      	 2.199	 7.95	               	 0.570	5p	 69	9	 0.036	 1.105	 0.073	 0.131	 0.080	 0.071	 9.70e-04	   3.3	 7.1	 1.74	 13.84	                 	0	0
6795	190.85140753725	 +1.88956920138	3702479482390609792	                                	          	14.29	      	      	      	 2.297	 8.96	               	 0.547	5p	 59	9	 0.147	 1.441	 0.074	 0.130	 0.078	 0.153	 0.00e+00	9999.0	13.2	 1.72	 15.39	                 	0	0
6796	359.08083097874	+13.97082523802	2770328917525601792	                                	          	14.29	      	      	      	 1.889	 5.90	               	 0.633	5p	 58	9	 0.034	 1.101	 0.073	 0.130	 0.077	 0.068	 4.50e-03	   2.8	 9.8	 1.80	 10.64	                 	0	0
6797	174.13827186687	-50.58619366699	5369873094802619136	                                	          	14.29	      	      	      	 2.165	 9.15	               	 0.516	5p	 66	9	 0.060	 1.142	 0.073	 0.131	 0.074	 0.076	 3.20e-04	   3.6	 6.2	 1.68	 15.40	                 	0	0
6798	224.47562890837	-44.47825578251	5907859530070642176	                                	          	14.29	      	      	      	 2.211	 8.18	               	 0.547	5p	 31	9	 0.063	 1.164	 0.074	 0.131	 0.072	 0.082	 3.40e-03	   2.9	 7.7	 1.72	 14.05	                 	0	0
6799	111.94291839500	-37.40371726825	5586451253106649344	                                	          	14.29	      	      	      	 1.930	 6.14	               	 0.598	5p	 51	9	 0.021	 1.114	 0.073	 0.130	 0.075	 0.070	 5.30e-03	   2.8	 9.2	 1.77	 10.86	                 	0	0
6800	 93.10596213965	 -4.18166285745	3021408238885164672	                                	          	14.29	      	      	      	 2.096	 6.59	               	 0.617	5p	 34	8	 0.087	 1.182	 0.073	 0.131	 0.072	 0.088	 1.10e-03	   3.3	11.1	 1.79	 11.78	                 	0	0
6801	231.07045889615	+66.86352264526	1645518420546705280	                                	          	14.29	      	      	      	 2.212	 6.85	               	 0.611	5p	 36	9	 0.053	 1.130	 0.074	 0.131	 0.079	 0.080	 2.90e-03	   3.0	 9.6	 1.78	 12.20	                 	0	0
6802	185.55761665666	-59.26335831651	6059159820503192704	                                	          	14.29	      	      	      	 1.929	 6.61	               	 0.612	5p	 49	9	 0.049	 1.102	 0.073	 0.130	 0.079	 0.070	 5.50e-03	   2.8	 8.8	 1.78	 11.79	                 	0	0
6803	 80.18624939974	-42.23583074025	4806594696633524992	                                	          	14.29	      	      	      	 2.332	 7.37	               	 0.599	5p	 40	9	 0.063	 1.143	 0.074	 0.130	 0.077	 0.080	 1.70e-03	   3.1	 8.9	 1.77	 13.04	                 	0	0
6804	215.35169303040	-30.91881107674	6220614169471628928	                                	          	14.29	      	      	      	 2.254	 9.02	               	 0.541	5p	 21	9	 0.067	 1.189	 0.074	 0.131	 0.070	 0.089	 5.00e-03	   2.8	 7.5	 1.71	 15.44	                 	0	0
6805	242.65774572963	+79.44833093494	1707978858622504576	                                	          	14.29	      	      	      	 2.122	 8.16	               	 0.552	5p	 34	9	 0.051	 1.175	 0.073	 0.131	 0.078	 0.093	 2.00e-04	   3.7	 8.8	 1.72	 14.06	                 	0	0
6806	331.29053882392	+15.08428874934	1774511441090374912	                                	          	14.29	      	      	      	 1.953	 6.81	               	 0.591	5p	 18	8	 0.075	 1.209	 0.073	 0.131	 0.072	 0.097	 3.60e-03	   2.9	11.5	 1.76	 12.00	                 	0	0
6807	226.95961227980	-30.06672551811	6211810723467493888	                                	          	14.29	      	      	      	 1.978	 6.59	               	 0.621	5p	 21	9	 0.080	 1.176	 0.073	 0.131	 0.072	 0.088	 5.60e-03	   2.8	11.2	 1.79	 11.80	                 	0	0
6808	273.21431250400	+25.88343897785	4579816575117743360	                                	          	14.29	      	      	      	 2.209	 7.67	               	 0.599	5p	 63	9	 0.085	 1.249	 0.074	 0.131	 0.072	 0.105	 0.00e+00	   6.1	11.2	 1.77	 13.58	                 	0	0
6809	 37.12069634202	 +6.98722278471	  19447783715197952	                                	          	14.29	      	      	      	 2.211	 8.37	               	 0.551	5p	 23	9	 0.045	 1.229	 0.074	 0.131	 0.072	 0.101	 3.20e-04	   3.6	 9.4	 1.72	 14.40	                 	0	0
6810	225.01613774388	-14.97794556494	6307257953482464896	                                	          	14.29	      	      	      	 2.433	 8.69	               	 0.576	5p	 20	8	 0.067	 1.245	 0.075	 0.130	 0.072	 0.105	 7.30e-04	   3.4	 9.6	 1.75	 15.18	                 	0	0
6811	187.85893384163	-62.50643809584	6053925664104663040	                                	          	14.29	      	      	      	 1.949	 6.02	               	 0.634	5p	 54	9	 0.045	 1.127	 0.073	 0.131	 0.079	 0.079	 4.30e-04	   3.5	11.2	 1.80	 10.86	                 	0	0
6812	 29.08989954404	-39.95788485443	4960923832334778624	                                	          	14.29	      	      	      	 2.158	 7.88	               	 0.563	5p	 69	9	 0.025	 1.112	 0.073	 0.131	 0.077	 0.070	 1.30e-03	   3.2	 7.0	 1.73	 13.66	                 	0	0
6813	221.15140431613	+51.28498292624	1604035118141859072	                                	          	14.29	      	      	      	 2.175	 8.87	               	 0.535	5p	 44	9	 0.052	 1.144	 0.073	 0.131	 0.078	 0.082	 6.10e-04	   3.4	 7.0	 1.70	 15.11	                 	0	0
6814	 31.40857579793	-67.13344689767	4697867805692763392	                                	          	14.29	      	      	      	 2.051	 7.27	               	 0.575	5p	 43	9	 0.030	 1.117	 0.073	 0.131	 0.078	 0.074	 4.00e-03	   2.9	 8.1	 1.75	 12.70	                 	0	0
6815	217.11328559759	+46.48052399434	1506639759678203136	                                	          	14.29	      	      	      	 2.259	10.35	               	 0.515	5p	 50	9	 0.072	 1.222	 0.074	 0.131	 0.077	 0.102	 0.00e+00	   5.2	 7.3	 1.68	 17.42	                 	0	0
6816	170.35536160741	+21.07794928556	3990764696684511616	                                	          	14.29	      	      	      	 2.139	 7.29	               	 0.572	5p	 21	9	 0.107	 1.290	 0.073	 0.131	 0.075	 0.119	 1.00e-05	   4.5	13.0	 1.74	 12.71	                 	0	0
6817	145.82039969107	+43.68603209881	 820060340872797696	LSPM J0943+4341                 	          	14.29	      	 10.88	      	 2.334	 7.84	M2.8           	 0.590	5p	 48	9	 0.034	 1.109	 0.074	 0.131	 0.080	 0.073	 3.80e-03	   2.9	 7.5	 1.76	 13.80	                 	0	0
6818	 99.38454167291	-27.94064933192	2919549962726301952	                                	          	14.29	      	      	      	 2.556	 8.59	               	 0.570	5p	 56	9	 0.048	 1.140	 0.077	 0.130	 0.074	 0.073	 2.60e-03	   3.0	 6.7	 1.74	 14.96	                 	0	0
6819	 78.59168742661	 +0.67158914789	3233671192009476864	CVSO 337                        	          	14.29	 15.34	 10.68	 1.530	 2.499	 7.21	M3e            	 0.612	5p	 50	9	 0.076	 1.166	 0.076	 0.130	 0.072	 0.079	 8.90e-04	   3.3	 9.1	 1.78	 12.85	                 	0	0
6820	230.31549869960	+25.91004641923	1270346052215948928	                                	          	14.29	      	      	      	 2.264	 9.13	               	 0.536	5p	 92	9	 0.039	 1.109	 0.074	 0.131	 0.075	 0.065	 1.50e-03	   3.2	 5.4	 1.71	 15.58	                 	0	0
6821	318.86306476669	-25.77202435681	6802896148649021568	                                	          	14.29	      	      	      	 1.889	 6.94	               	 0.552	5p	 28	9	 0.061	 1.162	 0.073	 0.131	 0.078	 0.091	 9.80e-04	   3.3	10.1	 1.72	 11.96	                 	0	0
6822	150.24269457388	-31.09825908049	5463448509345062272	                                	          	14.29	      	      	      	 2.356	 9.68	               	 0.529	5p	 40	8	 0.086	 1.245	 0.074	 0.130	 0.071	 0.101	 1.00e-05	   4.4	 7.9	 1.70	 16.44	                 	0	0
6823	 22.59917264323	+48.90255102151	 400306280728441728	                                	          	14.29	      	      	      	 2.181	 8.17	               	 0.550	5p	 36	9	 0.098	 1.265	 0.073	 0.131	 0.074	 0.111	 0.00e+00	   5.1	10.5	 1.72	 14.06	                 	0	0
6824	312.38181594193	+33.67708479283	1869061194757834752	                                	          	14.29	      	      	      	 2.371	 9.03	               	 0.548	5p	 60	9	 0.063	 1.125	 0.074	 0.130	 0.071	 0.066	 6.60e-03	   2.7	 5.6	 1.72	 15.53	                 	0	0
6825	225.48086960617	+61.61527937425	1619162439634443008	                                	          	14.29	      	      	      	 2.145	 9.21	               	 0.527	5p	 38	9	 0.044	 1.136	 0.073	 0.131	 0.079	 0.081	 1.70e-03	   3.1	 6.6	 1.70	 15.63	                 	0	0
6826	314.89059897538	+31.81117221111	1864937338952621696	                                	          	14.29	      	      	      	 2.522	 9.02	               	 0.555	5p	 73	9	 0.051	 1.130	 0.076	 0.130	 0.072	 0.067	 3.40e-03	   2.9	 5.7	 1.73	 15.57	                 	0	0
6827	239.05696172845	-26.95760146555	6235242450129893120	                                	          	14.29	      	      	      	 2.128	 8.01	               	 0.558	5p	 43	9	 0.060	 1.164	 0.073	 0.131	 0.073	 0.083	 5.70e-04	   3.4	 8.1	 1.73	 13.86	                 	0	0
6828	291.43990072231	+64.24030673320	2242175036791669248	                                	          	14.29	      	      	      	 1.947	 5.85	               	 0.643	5p	 32	9	 0.052	 1.132	 0.073	 0.131	 0.078	 0.080	 4.40e-03	   2.9	11.7	 1.81	 10.60	                 	0	0
6829	227.72003110307	-59.22095946716	5876986858487341440	                                	          	14.29	      	      	      	 1.975	 6.53	               	 0.624	5p	 69	9	 0.000	 1.101	 0.073	 0.131	 0.079	 0.069	 1.60e-03	   3.2	 8.9	 1.79	 11.72	                 	0	0
6830	280.95300410030	+77.83636581653	2292859293014959488	                                	          	14.29	      	      	      	 2.158	 8.43	               	 0.544	5p	 35	9	 0.060	 1.150	 0.073	 0.131	 0.080	 0.087	 7.70e-04	   3.4	 7.9	 1.71	 14.46	                 	0	0
